Time_h,T,P,RH,SZA,M,BLheight,NO,NO2,O3,OH,CO,H2O2,PAN,C2H5NO3,IC3H7NO3,C5H8,APINENE,BPINENE,LIMONENE,C2H4,C2H6,C3H8,IC4H10,IC5H12,NC5H12,NC6H14,NC10H22,BENZENE,TOLUENE,EBENZ,TM124B,TM135B,MXYL,OXYL,PXYL,BENZAL,CH3CHO,C2H5CHO,C3H7CHO,HOCH2CHO,GLYOX,CH3OH,C2H5OH,ACETOL,BIACET,MACR,MVK,HCHO,CH3COCH3,C2H2,C3H6,NC4H10,DMS,HNO3,HO2,IEPOX,ISOPOOH,MEK,MPAN,H2,CH4
0,296.91428571428565,751.684109510204,85.16326530612244,90.0,2.4459401335654535e+19,758.9865585600564,0.00463265306122449,0.6683809523809524,21.341875,6.9883074742422085e-06,153.46428571428572,0.1419315444483349,0.12735042857142856,0.006483333333333334,0.010966666666666666,3.7603499999999994,0.4750666666666666,0.47206666666666663,0.056933333333333336,0.4422833333333333,1.2805333333333333,0.6479166666666668,0.04615,0.10913333333333335,0.07843333333333333,0.028450000000000003,0.013966666666666669,0.06328333333333333,0.07368333333333332,0.013900000000000001,0.014316666666666665,0.0126,0.01614166666666667,0.013783333333333335,0.01614166666666667,0.08071666666666667,1.5165999999999997,0.11548333333333333,0.035666666666666666,0.10440161498077491,0.021296576103412016,8.544683333333333,2.1415333333333333,0.19897785584742655,0.01983333333333333,0.60305,0.6563,2.9816528950707593,2.1733833333333332,0.22993333333333335,0.09381666666666666,0.09936666666666667,0.008100000000000001,0.11953061224489796,0.0037443749999999994,0.039509718406593404,0.11359271088435374,0.2845166666666667,0.007855000000000001,550.0,1770.0
1,296.178125,750.993512175,88.70833333333334,90.0,2.4497668477969908e+19,744.105867684286,0.006835416666666668,0.7852791666666668,18.809583333333332,7.263003775951826e-06,165.96666666666667,0.11259768204589528,0.12404587500000001,0.0066,0.011771428571428572,3.357842857142857,0.5264571428571428,0.5111571428571429,0.06554285714285714,0.5677428571428571,1.6247714285714285,1.0728428571428572,0.06835714285714287,0.12274285714285714,0.09425714285714286,0.03438571428571428,0.014614285714285717,0.08481428571428572,0.09145714285714286,0.016785714285714286,0.017185714285714287,0.014785714285714287,0.017878571428571428,0.015842857142857145,0.017878571428571428,0.07354285714285713,1.6114285714285714,0.10337142857142857,0.032271428571428576,0.07156734543010751,0.014701834115159398,7.332942857142856,1.9539285714285715,0.15290773706304375,0.022299999999999997,0.4979142857142857,0.5126714285714286,2.6851354000395924,2.0857428571428573,0.25382857142857146,0.1339,0.1480857142857143,0.017842857142857143,0.10117499999999999,0.0039193000000000006,0.03349259775171066,0.07446701612903225,0.2549714285714285,0.006974999999999999,550.0,1770.0
2,295.61299999999994,750.7238031,90.82000000000001,90.0,2.453568598307115e+19,685.6889047749203,0.0047375,0.8715124999999999,17.5025,5.714383043362328e-06,163.3125,0.11260553781512604,0.11260574999999999,0.006171428571428572,0.011685714285714287,3.0993,0.5289857142857143,0.5225857142857143,0.05987142857142857,0.5698285714285715,1.6601285714285712,0.8776428571428571,0.0715857142857143,0.13212857142857143,0.09934285714285715,0.03817142857142857,0.015271428571428571,0.08207142857142856,0.09394285714285713,0.016957142857142858,0.018657142857142855,0.016685714285714283,0.018864285714285715,0.016885714285714285,0.018864285714285715,0.07721428571428572,1.5698714285714286,0.11814285714285713,0.036514285714285714,0.049600606740280655,0.00710325260406389,7.066414285714285,1.8780857142857144,0.1419836151595437,0.019385714285714287,0.4439714285714286,0.3893714285714286,2.4280109903213756,2.0259285714285715,0.24851428571428572,0.12805714285714287,0.19907142857142857,0.019985714285714284,0.0728,0.003388923015873016,0.01742484277713315,0.05403413766472772,0.23714285714285716,0.011234666666666665,550.0,1770.0
3,295.1960714285714,750.669200517857,91.87380952380954,90.0,2.4568552576684233e+19,651.7976913857989,0.0028333333333333344,0.8493041666666667,17.194642857142856,3.7544267777978097e-07,163.6071428571429,0.1111359965319461,0.11747837500000001,0.006028571428571427,0.011314285714285716,2.557328571428571,0.6252571428571428,0.6101142857142856,0.0583,0.5217857142857143,1.6200857142857144,0.8971571428571428,0.07235714285714287,0.12897142857142857,0.10052857142857143,0.04037142857142857,0.014557142857142857,0.07127142857142857,0.08864285714285713,0.0157,0.01615714285714286,0.015071428571428572,0.018492857142857144,0.015857142857142858,0.018492857142857144,0.07391428571428571,1.6089000000000002,0.09742857142857142,0.033814285714285706,0.059907467026400006,0.007891745783036423,6.477457142857142,1.9894857142857145,0.13144083321082706,0.019214285714285715,0.4112571428571429,0.3699,2.4220577276762856,1.9582,0.2418285714285715,0.11462857142857143,0.20292857142857143,0.019542857142857143,0.08512499999999999,0.002266925,0.023491312358276645,0.05556473296576694,0.21354285714285717,0.006477,550.0,1770.0
4,294.9077083333333,750.73192875,92.13125,90.0,2.459463093361609e+19,651.9392244504685,0.010270833333333335,1.2616374999999997,16.447916666666664,3.431050400570482e-06,161.39583333333331,0.10899053245977876,0.108256625,0.006571428571428573,0.011685714285714285,2.1758571428571427,0.6079571428571429,0.5569142857142857,0.0558,0.5411142857142857,1.6507142857142856,0.9641428571428571,0.07147142857142856,0.13272857142857145,0.10382857142857145,0.03862857142857142,0.01885714285714286,0.08004285714285715,0.09877142857142855,0.018828571428571427,0.022100000000000005,0.017985714285714282,0.020578571428571425,0.01805714285714286,0.020578571428571425,0.07921428571428571,1.6438428571428572,0.11261428571428571,0.0371,0.049950719246031734,0.007795953950040669,6.342271428571428,1.9076714285714285,0.12883118261720547,0.01867142857142857,0.37557142857142856,0.3498142857142857,2.289313952569231,1.8913857142857142,0.2466571428571429,0.11218571428571426,0.18018571428571425,0.01884285714285714,0.08545833333333333,0.002377870833333333,0.026252886002886004,0.04442580417267917,0.1928,0.0103895,550.0,1770.0
5,294.32149999999996,751.0632052499999,94.78750000000001,90.0,2.4654491267721974e+19,626.5020755953678,0.0188,1.0144916666666666,13.280000000000001,6.90683564735604e-06,162.2,0.08693541666666667,0.094590125,0.0060857142857142854,0.011257142857142856,1.9309571428571428,0.5982428571428571,0.5622571428571429,0.05948571428571429,0.5190285714285715,1.6063428571428573,0.8929142857142857,0.07172857142857143,0.13675714285714285,0.1062142857142857,0.03742857142857143,0.01664285714285714,0.06827142857142858,0.09135714285714287,0.01662857142857143,0.018614285714285715,0.015914285714285718,0.01967857142857143,0.01722857142857143,0.01967857142857143,0.06805714285714286,1.6098285714285712,0.08287142857142858,0.027657142857142852,0.04579386105612814,0.00494223211749397,5.3317428571428565,1.5469857142857144,0.09979949239257409,0.0166,0.3219285714285714,0.2685571428571429,1.8908360088556404,1.7857000000000003,0.2280142857142857,0.13309999999999997,0.1778714285714286,0.016028571428571427,0.0643,0.0021710285714285713,0.016921898833657238,0.040724060914455004,0.1693,0.00856,550.0,1770.0
6,294.0798214285714,751.4636837142857,95.70357142857141,87.10652425856449,2.468790960305683e+19,603.3854971217439,0.05935714285714285,1.041325,12.369642857142857,4.471435815742126e-07,162.40625,0.06819667075163398,0.08864462499999999,0.00605,0.011249999999999998,1.8470166666666668,0.5577333333333333,0.4743833333333334,0.06268333333333333,0.5887333333333332,1.69385,0.9818999999999999,0.08503333333333334,0.1474,0.1137833333333333,0.042366666666666664,0.016083333333333335,0.07148333333333334,0.09353333333333332,0.016733333333333333,0.01936666666666667,0.013416666666666665,0.020683333333333335,0.0179,0.020683333333333335,0.06433333333333334,1.7795666666666667,0.08341666666666665,0.029766666666666663,0.03237281105990784,0.005179159257124757,5.3563,1.48015,0.06792673375000327,0.0153,0.2737833333333333,0.19321666666666662,1.676280772818092,1.6640000000000004,0.23293333333333335,0.13316666666666666,0.19846666666666668,0.015600000000000001,0.05669642857142857,0.0015463828947368424,0.012645684523809526,0.026596904238234884,0.15234999999999999,0.010456,550.0,1770.0
7,294.50124999999997,751.85076825,94.84791666666666,76.20583293177347,2.4665280160361714e+19,567.6264005094478,0.2797708333333333,0.9548625000000001,11.333333333333332,9.578271370616666e-06,166.14583333333334,0.07199194852941176,0.091017,0.006366666666666667,0.010933333333333335,2.514283333333333,0.6480166666666667,0.5050499999999999,0.09254999999999998,0.6299166666666666,1.7846833333333334,1.1253833333333334,0.09933333333333333,0.16746666666666668,0.13313333333333333,0.04773333333333333,0.01706666666666667,0.07693333333333333,0.10931666666666666,0.0196,0.024783333333333334,0.01788333333333333,0.023933333333333334,0.02078333333333333,0.023933333333333334,0.06426666666666667,1.7713833333333333,0.07934999999999999,0.031,0.025615572660098524,0.005129901658240573,6.76335,1.5155,0.05459976243127359,0.014,0.21295,0.17283333333333337,1.65510454705746,1.6659833333333331,0.2557833333333333,0.15701666666666667,0.22963333333333333,0.01355,0.06958333333333334,0.0019075058139534885,0.017762336822660096,0.016006623563218393,0.1422,0.008169,550.0,1770.0
8,296.17524999999995,752.1639182999999,89.77,63.615810329418515,2.45360857028403e+19,496.2311557788941,0.33585,0.9155208333333333,15.577500000000002,1.7736126823044587e-05,155.875,0.12736221064814815,0.1023954,0.0067599999999999995,0.013519999999999999,2.59182,0.38248,0.31164000000000003,0.06682,0.51624,1.92162,1.2230599999999998,0.09212,0.14994000000000002,0.12147999999999999,0.04344,0.013019999999999999,0.07008,0.09614,0.01604,0.0196,0.01022,0.01894,0.01628,0.01894,0.06808,1.7046400000000002,0.0901,0.03236,0.04074210824275363,0.011349504369897552,6.1133750000000004,1.39744,0.07009996722982015,0.015279999999999998,0.29678,0.32266,2.08444458052842,1.85824,0.25107999999999997,0.10286,0.18782000000000001,0.01286,0.12055,0.003826183333333334,0.012523095669427192,0.018744688955745343,0.16738,0.00664,550.0,1770.0
9,297.88339285714284,752.3517011785713,83.21785714285714,51.18346704261476,2.4401479716762132e+19,505.2042932784724,0.23102976190476188,0.7207549932523618,22.000595238095237,3.201410343136403e-05,149.02083333333334,0.18240538480392157,0.16439800000000002,0.006039999999999999,0.01192,3.6055800000000007,0.31846,0.24383999999999997,0.06012000000000001,0.39715999999999996,1.7734800000000004,1.00608,0.11344000000000001,0.14456,0.11896,0.052039999999999996,0.01316,0.07482,0.07472000000000001,0.01308,0.01248,0.0093,0.016470000000000002,0.01354,0.016470000000000002,0.07294,1.92558,0.10066,0.03846000000000001,0.07121642006802721,0.019797974394432007,7.02904,1.60376,0.09056266317941318,0.013620000000000002,0.35331999999999997,0.2278,2.748028338350641,1.70488,0.21675999999999998,0.06382,0.22054,0.012199999999999999,0.15855102040816327,0.009255861904761901,0.017232201354679805,0.041407910509031205,0.16934,0.0108465,550.0,1770.0
